CodigoExterno,Nombre,CodigoEstado,FechaCierre
1000-22-LE25,Suministro piezas de madera de roble.,5,2025-10-06 18:30:00
1000-24-LE25,Adquisición cajones prefabricados de hormigón.,5,2025-10-13 15:10:00
1001-33-LE25,ESTABILIZADOR DE SUELO TIPO IONICO,5,2025-10-10 15:00:00
1001-34-LE25,ESTABILIZADOR SUELO EN BASE A POLIMERO,5,2025-10-10 15:00:00
1001-37-LP25,Serv. de Arriendo y mantención de Baños Químicos,5,2025-10-13 15:01:00
1002584-11-LP25,SERVICIO DE RENOVACIÓN Y ADQUISICIÓN DE LICENCIAS,5,2025-10-14 16:00:00
1002588-101-LE25,Servicio de producción Escuela Tambillos.,5,2025-10-10 12:15:00
1002588-102-LE25,Capacitación en neurociencias IAC Est. de Israel,5,2025-10-10 15:00:00
1002588-103-LE25,Adquisición De Accesorios Tecnológicos.,5,2025-10-13 15:01:00
1002588-104-LE25,Servicio de producción para salidas pedagógicas.,5,2025-10-08 16:00:00
1002588-97-LE25,Producción salidas pedagógicas Col. Nuestra Sra.,5,2025-10-06 15:00:00
1002588-98-LE25,Servicio De Producción Liceo Industrial José Tomás,5,2025-10-06 15:00:00
1002588-99-LE25,Servicios De Capacitación Para Docentes,5,2025-10-06 15:00:00
1002772-115-LR25,INSUMOS PARA TRATAMIENTO DE HERIDAS COMPLEJAS,5,2025-10-10 16:00:00
1002772-119-LQ25,CATÉTERES USO PEDIÁTRICO CON ECÓGRAFOS EN COMODATO,5,2025-10-06 16:00:00
1002772-120-LQ25,SUMINISTRO DE INSUMOS PARA CIRUGÍA DE TÓRAX,5,2025-10-06 17:00:00
1002772-122-LE25,SUMINISTRO DE CINTILLO DE MONITOREO ANESTESICO,5,2025-10-06 16:00:00
1002772-123-LR25,SUMINISTRO DE INSUMOS TRANSVERSALES,5,2025-11-03 16:00:00
1004-42-LP25,SERVICIO DE ARRIENDO CAMION TOLVA,5,2025-10-13 16:05:00
1004-43-LP25,ARRIENDO RODILLO COMPACTADOR.,5,2025-10-13 16:05:00
1004823-24-LE25,SERVICIO DE HABILITACIÓN E IMPLEMENTACIÓN PARA LAS OFICINAS DE LAS UNIDADES DE ADMISIÓN Y GÉNERO PROYECTO CRC23101,5,2025-10-10 18:39:00
1004823-25-LE25,Renovación de licencias educativas suite de trabajo Office 365 para el Centro de Formación Técnica de la Región de Coquimbo,5,2025-10-10 19:55:00
1004823-26-LE25,SERVICIOS DE DIFUSIÓN RADIAL Y DIGITAL CAMPAÑA DE ADMISIÓN 2026,5,2025-10-10 18:01:00
1004823-27-LE25,Adquisición e Instalación Pantalla LED,5,2025-10-10 19:48:00
1005498-32-LQ25,Soporte M365 y consultoría consolidación AD,5,2025-10-21 16:00:00
1005498-33-LR25,Soporte permanente DBA - Plataforma Oracle,5,2025-11-03 16:00:00
1006-22-LE25,ADQUISICIÓN DE POSTES COLAPSABLES Y SEÑALES PREFORMADAS PARA TRABAJOS DE CONSERVACIÓN EN LA RED VIAL ,5,2025-10-06 15:00:00
1013609-11-LE25,SERVICIO DE REPARACION Y MANTENIMIENTO DE PINTURA,5,2025-10-07 15:01:00
1016414-26-LE25,Bases Servicio Acceso Perimetral 2025,5,2025-10-07 15:30:00
1019-115-LR25,ANÁLISIS DE LA CUENCA BIOBÍO PARA LA FORMULACIÓN ,5,2025-10-09 15:30:00
1019-124-LE25,DELIMITACION DE SECTORES ACUIFEROS QUE ALIMENTAN ESPECIES VEGETACIONALES DE VEGAS BOFEDALES Y PAJONALES EN LOS SALARES DEL ALTIPLANO Y EN LAS CABECERAS DE LAS CUENCAS DE LOS RIOS ELQUI Y CHOAPA EN LAS REGIONES DE ATACAMA Y COQUIMBO,5,2025-10-07 16:00:00
1019-125-LP25,LISTADO DE DERECHOS DE APROVECHAMIENTO DE AGUAS,5,2025-10-14 17:42:00
1019-126-LE25,ADQ E INSTALACION DE UN CONTENEDOR DE 40 PIES,5,2025-10-06 16:00:00
1019-127-LP25,ADQUISICIÓN DE UN STORAGE BACKUP,5,2025-10-16 14:26:00
1019-128-E225,MANTENCIÓN CORRECTIVA EQUIPO OSMOSIS INVERSA ALPHA I MARCA AMERICAN ENGINEERING SERVICES INC,5,2025-10-10 15:29:00
1020-62-LR25,Upgrade GIS ESRI para el MOP,5,2025-10-15 15:00:00
1020-63-LR25,Serv Ingeniería y Licencias Renovación Máximo MOP,5,2025-11-04 15:00:00
1020-65-LR25,SUMINISTRO-INSTALACIÓN BOYAS AMARRE ISLA DE PASCUA,5,2025-10-13 15:01:00
1020-69-LR25,Diseño y Construcción Nave Lago Ranco,5,2025-11-28 15:00:00
1021609-16-LE25,CONVENIO DE SUMINISTRO DE BRAZALETES ADULTOS Y PEDIATRICOS CON EQUIPO EN COMODATO PARA EL HOSPITAL DE RENGO,5,2025-10-07 18:00:00
1021609-17-LP25,CONVENIO DE SUMINISTRO DE MEDICAMENTOS PSICOTROPICOS Y ESTUPEFACIENTES PARA EL HOSPITAL DE RENGO,5,2025-10-09 18:00:00
