FechaCierre,Descripcion,Estado,CodigoTipo,TipoConvocatoria,MontoEstimado,Modalidad,EmailResponsablePago,Comprador.NombreOrganismo,Comprador.NombreUnidad,Comprador.ComunaUnidad,Comprador.RegionUnidad,Comprador.NombreUsuario,Comprador.CargoUsuario
2025-10-06 18:30:00,Suministro piezas de madera de roble.,,,,,,,,,,,,
2025-10-13 15:10:00,Adquisición cajones prefabricados de hormigón.,,,,,,,,,,,,
2025-10-10 15:00:00,ESTABILIZADOR DE SUELO TIPO IONICO,,,,,,,,,,,,
2025-10-10 15:00:00,ESTABILIZADOR SUELO EN BASE A POLIMERO,,,,,,,,,,,,
2025-10-13 15:01:00,Serv. de Arriendo y mantención de Baños Químicos,,,,,,,,,,,,
2025-10-14 16:00:00,SERVICIO DE RENOVACIÓN Y ADQUISICIÓN DE LICENCIAS,,,,,,,,,,,,
2025-10-10 12:15:00,Servicio de producción Escuela Tambillos.,,,,,,,,,,,,
2025-10-10 15:00:00,Capacitación en neurociencias IAC Est. de Israel,,,,,,,,,,,,
2025-10-13 15:01:00,Adquisición De Accesorios Tecnológicos.,,,,,,,,,,,,
2025-10-08 16:00:00,Servicio de producción para salidas pedagógicas.,,,,,,,,,,,,
2025-10-06 15:00:00,Producción salidas pedagógicas Col. Nuestra Sra.,,,,,,,,,,,,
2025-10-06 15:00:00,Servicio De Producción Liceo Industrial José Tomás,,,,,,,,,,,,
2025-10-06 15:00:00,Servicios De Capacitación Para Docentes,,,,,,,,,,,,
2025-10-10 16:00:00,INSUMOS PARA TRATAMIENTO DE HERIDAS COMPLEJAS,,,,,,,,,,,,
2025-10-06 16:00:00,CATÉTERES USO PEDIÁTRICO CON ECÓGRAFOS EN COMODATO,,,,,,,,,,,,
2025-10-06 17:00:00,SUMINISTRO DE INSUMOS PARA CIRUGÍA DE TÓRAX,,,,,,,,,,,,
2025-10-06 16:00:00,SUMINISTRO DE CINTILLO DE MONITOREO ANESTESICO,,,,,,,,,,,,
2025-11-03 16:00:00,SUMINISTRO DE INSUMOS TRANSVERSALES,,,,,,,,,,,,
2025-10-13 16:05:00,SERVICIO DE ARRIENDO CAMION TOLVA,,,,,,,,,,,,
2025-10-13 16:05:00,ARRIENDO RODILLO COMPACTADOR.,,,,,,,,,,,,
2025-10-10 18:39:00,SERVICIO DE HABILITACIÓN E IMPLEMENTACIÓN PARA LAS OFICINAS DE LAS UNIDADES DE ADMISIÓN Y GÉNERO PROYECTO CRC23101,,,,,,,,,,,,
2025-10-10 19:55:00,Renovación de licencias educativas suite de trabajo Office 365 para el Centro de Formación Técnica de la Región de Coquimbo,,,,,,,,,,,,
2025-10-10 18:01:00,SERVICIOS DE DIFUSIÓN RADIAL Y DIGITAL CAMPAÑA DE ADMISIÓN 2026,,,,,,,,,,,,
2025-10-10 19:48:00,Adquisición e Instalación Pantalla LED,,,,,,,,,,,,
2025-10-21 16:00:00,Soporte M365 y consultoría consolidación AD,,,,,,,,,,,,
2025-11-03 16:00:00,Soporte permanente DBA - Plataforma Oracle,,,,,,,,,,,,
2025-10-06 15:00:00,ADQUISICIÓN DE POSTES COLAPSABLES Y SEÑALES PREFORMADAS PARA TRABAJOS DE CONSERVACIÓN EN LA RED VIAL ,,,,,,,,,,,,
2025-10-07 15:01:00,SERVICIO DE REPARACION Y MANTENIMIENTO DE PINTURA,,,,,,,,,,,,
2025-10-07 15:30:00,Bases Servicio Acceso Perimetral 2025,,,,,,,,,,,,
2025-10-09 15:30:00,ANÁLISIS DE LA CUENCA BIOBÍO PARA LA FORMULACIÓN ,,,,,,,,,,,,
2025-10-07 16:00:00,DELIMITACION DE SECTORES ACUIFEROS QUE ALIMENTAN ESPECIES VEGETACIONALES DE VEGAS BOFEDALES Y PAJONALES EN LOS SALARES DEL ALTIPLANO Y EN LAS CABECERAS DE LAS CUENCAS DE LOS RIOS ELQUI Y CHOAPA EN LAS REGIONES DE ATACAMA Y COQUIMBO,,,,,,,,,,,,
2025-10-14 17:42:00,LISTADO DE DERECHOS DE APROVECHAMIENTO DE AGUAS,,,,,,,,,,,,
2025-10-06 16:00:00,ADQ E INSTALACION DE UN CONTENEDOR DE 40 PIES,,,,,,,,,,,,
2025-10-16 14:26:00,ADQUISICIÓN DE UN STORAGE BACKUP,,,,,,,,,,,,
2025-10-10 15:29:00,MANTENCIÓN CORRECTIVA EQUIPO OSMOSIS INVERSA ALPHA I MARCA AMERICAN ENGINEERING SERVICES INC,,,,,,,,,,,,
2025-10-15 15:00:00,Upgrade GIS ESRI para el MOP,,,,,,,,,,,,
2025-11-04 15:00:00,Serv Ingeniería y Licencias Renovación Máximo MOP,,,,,,,,,,,,
2025-10-13 15:01:00,SUMINISTRO-INSTALACIÓN BOYAS AMARRE ISLA DE PASCUA,,,,,,,,,,,,
2025-11-28 15:00:00,Diseño y Construcción Nave Lago Ranco,,,,,,,,,,,,
2025-10-07 18:00:00,CONVENIO DE SUMINISTRO DE BRAZALETES ADULTOS Y PEDIATRICOS CON EQUIPO EN COMODATO PARA EL HOSPITAL DE RENGO,,,,,,,,,,,,
2025-10-09 18:00:00,CONVENIO DE SUMINISTRO DE MEDICAMENTOS PSICOTROPICOS Y ESTUPEFACIENTES PARA EL HOSPITAL DE RENGO,,,,,,,,,,,,
